index,archetype,complexity,time,resources,story,goal,steps,what_to_say,how_to_identify,comm_intervention,gap_analysis,admin_fix,confidence
138,Reactor,Low,1-2 weeks,"Accident Data Reports, Local Awareness Posters","In Punjab, 81.4% of road accidents are caused by overspeeding and distractions. This student analyzed the ""Sadak Surakhya Force"" initiatives and created an awareness campaign to help drivers understand the ""Golden Hour"" and the ""Farishtey"" free ambulance scheme.","Increase community awareness of the ""Sadak Surakhya Force"" and ""Farishtey"" scheme.","1. The Data Proof: Use statistics (e.g., 81.4% driver fault) to show why safety matters. 2. The Hotline Audit: Verify if the emergency number 108 or 112 is common in your area. 3. Awareness Posters: Create a poster highlighting the 'Farishtey Scheme' (Free treatment for first 48 hours). 4. Community Session: Share these findings during a local Adda or college orientation.",To a driver: 'Did you know that the Punjab Government provides free treatment for the first 48 hours to any road accident victim? Save the Sadak Surakhya Force number now.',Look for the High-Vis Interceptor Vehicles of the SSF (Sadak Surakhya Force) on Punjab highways; they carry life-saving equipment and can be flagged directly.,No,1. Lack of specific SSF helpline number. 2. Missing detail on Good Samaritan Law protections. 3. No mention of specific 'Distraction' types (mobile use).,Recipe: Road Safety Awareness Kit; Standard: Motor Vehicles Act (Amendment) 2019.,5.0
131,Solver,Medium,4-8 Weeks,"Eco-Club budget, Signage materials, Peer network","As the Eco-Club President, this student realized that ""Awareness"" was just talk. They shifted the club to ""Action"": auditing water leaks in college basins and replacing single-use paper cups with steel glasses, creating a 50kg reduction in daily campus waste.",Transform a campus club from awareness-only to a measurable action-unit.,"1. The Waste Audit: Count the garbage bags leaving the canteen for 3 days. 2. Target Identification: Find the top 3 waste items (e.g., paper cups, plastic files). 3. Swap: Propose a 'Zero-Plastic' canteen policy to the Principal. 4. Scale: Create 'Action Stalls' where students can swap their plastic waste for eco-alternatives.","To the Principal: 'Sir, our club has documented 200kg of paper waste per week from the canteen. By switching to steel glasses, the college saves ₹15,000 annually and complies with SBM-U guidelines.'","To find eco-friendly vendors for your campus, check the **GeM (Government e-Marketplace)** portal under 'Green Products'.",No,1. No financial cost-benefit for the institution. 2. Missing SBM-U 2.0 institutional campus guidelines. 3. Lack of specific waste-segregation standards.,Template: Green Campus Audit Sheet; Standard: SBM-U 2.0 Institutional Policy.,5.0
133,Reactor,Low,1 Week,"Smartphone, Ward Map","During a SolverJam, students audited the street lights of their ward and discovered that 30% were non-functional, creating unsafe zones for women at night. They reported each light using the unique pole-numbers to the MCJ (Municipal Corporation Jalandhar).",Restore 100% street-light functionality in a 1km radius.,1. The Night Audit: Walk your street at 8 PM. Identify non-functional lights. 2. Pole ID: Note the alphanumeric ID painted on each pole. 3. Reporting: Call the **MCJ Streetlight Toll-Free** or use the city portal. 4. Tracking: Note if a repair van arrives within the '48-hour' service standard.,To the MCJ Helpine: 'Citizen from Ward [X]. Pole ID [Y] near [Landmark] is flickering/off. This is a safety issue for residents. Please share the technician's ETA.',"To find the **Pole ID**, look at the base of the street light pole; it is usually painted in white or yellow stencil (e.g., MCJ-W54-01).",Yes,1. Users reported locations vaguely; missing Pole IDs. 2. No knowledge of the 48-hour repair legal standard. 3. Lack of safety-priority logic.,Recipe: The Streetlight Audit Log; Standard: National Street Lighting Programme (NSLP) Service Levels.,5.0
135,Solver,Low,1-2 weeks,"Electricity Bill, Home Energy Audit App","This student noticed their electricity bill for August was unusually high. They conducted a ""Home Tech Audit"" and found that their older refrigerator was consuming 3x more energy than a modern BEE Star-rated one. They convinced their parents to upgrade, saving ₹500/month.",Reduce monthly household energy consumption by 10% through a home tech audit.,"1. Bill Check: Look at your 'Units Consumed' over the last 3 months. 2. Star Audit: Check the **BEE (Bureau of Energy Efficiency)** star stickers on your Fan, AC, and Fridge. 3. Standby Fix: Unplug chargers and TVs when not in use (phantom load). 4. Upgrade Path: Research local appliance exchange schemes that offer discounts for old energy-hungry devices.","To family: 'If we switch this 2-star AC to a 5-star one, the electricity saving pays for the AC in 2 years. Let's check the BEE calculator.'","To find the energy efficiency of your device, visit the **BEE India** website and use their 'Standard & Labeling' verification search.",No,"1. No mention of ""Phantom Load"" waste. 2. Lack of BEE Star rating financial calculator. 3. Missing mention of solar-subsidies (MNRE).",Recipe: Savings Calculator (BEE); Standard: Energy Conservation Building Code (ECBC).,5.0
144,Solver,Medium,6 Weeks,"Student Signature List, Paper Alternatives, HOD Meeting","Vabek realized that a single voice is easily ignored by college administration. He organized a survey of 45 students and collected 33 signatures for a formal proposal to replace plastic stick files. This ""Citizen Power"" list forced the HOD to officially accept cardboard and digital submissions.",Secure departmental approval for eco-friendly submissions using collective student voices.,1. The Peer Survey: Collect data from 40+ students on why they want to switch (Cost vs. Waste). 2. The Signature Drive: Get at least 30 signatures on a simple one-page request. 3. The Authority Meet: Present the 'Cost-Benefit' and the 'Signature List' to the HOD. 4. Implementation: Ask the HOD to mark an email or notice to all faculty members.,"To the HOD: 'Respected Sir, 33 students from our department have requested a switch to cardboard files. It saves us money and aligns with PWM 2016 rules. We have the signatures here—can we pilot this for the next semester?'","To find the best paper alternatives, visit a local **Wholesale Paper Market**; they offer card-stock and recycled paper at 40% less than retail stationary shops.",No,1. Lack of 'Strength in Numbers' logic in original. 2. Missing PWM 2016 regulatory citation. 3. No mention of wholesale vendor scouting.,Template: Peer Signature Sheet; Standard: PWM Rules 2016 Section 4.,5.0
159,Solver,High,8-12 Weeks,"UTTIPEC Guidelines, Traffic Count Data, KSRTC/BMTC Contacts","Overcrowding in buses isn't just a luck issue; it's a planning gap. By analyzing the ""Ward Micro Plan"" for transport and contractor attendance, these students identified that specific routes were systematically underserved. They escalated to the Zonal Engineer to fix the deployment schedule.",Improve bus frequency and reduce peak-hour overcrowding on a specific route.,1. The Frequency Audit: Count the number of buses passing your stop between 8 AM and 10 AM. 2. Gap Check: Compare this to the 'Target Frequency' in the **UTTIPEC Urban Transport Guidelines**. 3. The Contractor Call: Identify if the shortage is due to 'Missed Trips' by the contractor. 4. Escalate: Report systematic shortages to the **Zonal Transport Lead** or via the public grievance portal.,"To the Transport Official: 'Under UTTIPEC guidelines, route [X] requires a 5-minute frequency during peak hours. Our audit shows a 25-minute gap. Can we review the contractor's trip-logs for this week?'","To find the official **Route Frequency**, visit the BMTC/KSRTC 'Route Info' portal or ask the 'Time-Keeper' at the nearest major bus terminus.",Yes,Recipe: Transport-Frequency Audit Sheet; Standard: UTTIPEC Guidelines for Bus Services.,5,
168,Reactor,Low,1 Week,"Digital Carbon Footprint Articles, Sasha Luccioni TED Talk","Every AI query has a carbon footprint. After attending a session on ""Digital Ethics,"" this student realized their high-frequency AI usage was hidden environmental waste. They committed to a ""Mindful AI Policy""—using AI as a second opinion, not a first draft, and sharing this with their Eco Club.","Establish a ""Mindful Digital Consumption"" habit within your club or peer group.",1. The Awareness Share: Watch the **Sasha Luccioni TED Talk** on the environmental cost of AI. 2. The Personal Audit: Monitor your AI query frequency for 3 days. 3. The Rule of Three: Pause before using AI—try to answer the question yourself first. 4. Peer Advocacy: Share these 3 steps in your club's WhatsApp group to reduce 'Digital Waste.',"To a peer: 'Did you know a single AI image uses as much energy as a smartphone charge? Let's use these tools for high-impact problems, not just for every small task.'","To find your 'Digital Carbon Footprint,' use online tools like **WebsiteCarbon.com** or read the 'AI and Climate' reports on **arXiv**.",No,"1. No specific data on AI energy usage. 2. Lack of ""Digital Sobriety"" framework. 3. Missing clear alternative habits.",Recipe: The Digital Sobriety Checklist; Standard: UNESCO Ethics of Artificial Intelligence.,5.0
171,Solver,High,12+ Weeks,"Municipal Support, Public Survey Data, Beautification Kit","Addressing the Devi Talab Mandir blackspot required more than a cleanup; it required a public survey. By documenting that lack of dustbins and poor lighting were the root causes, these students cleared 300kg of waste and beautyified the area with posters.",Analyze root causes of a persistent blackspot through a public survey and execute a cleanup.,"1. The Root Cause Survey: Ask 20 passersby: 'Why does waste accumulate here?' (e.g., No bin, No light). 2. Support Sync: Contact the Municipal Corporation for specialized debris removal equipment. 3. The Big Clean: Organize a 4-hour drive. 4. Visual Barrier: Install posters or paint murals to discourage future littering.","To the Municipal Official: 'Sir, our survey shows this spot lacks a public bin, which is causing the accumulation. We are cleaning it today, but we need the MC to install a permanent bin here under SBM-U guidelines.'","To find the best location for a bin, look for 'Natural Accumulation Points'—corners where people already drop trash habitually.",Yes,"1. No mention of long-term lighting as a deterrent. 2. Missing specific SBM bin-placement standards. 3. No data on ""Legacy Waste"" remediation.",Template: Blackspot Survey Form; Standard: SBM-U 2.0 Blackspot Remediation Guidelines.,5.0
186,Solver,High,8-12 Weeks,"Institutional Letter, Mayor Meeting, SI Appointment","Vabek and Lakshay realized that despite their cleanups, the Devi Talab spot returned because of a jurisdiction gap. They met their Principal, who explained that only a letter to the Mayor could authorize structural work. They successfully got a 'Sanitation Inspector' appointed specifically for their project.","Bridge the ""Jurisdiction Gap"" by securing an official appointment of a Sanitation Inspector for a mission.",1. The Permission Audit: Ask your Principal/HOD: 'Who owns the land outside our gate?' 2. The Mayor's Letter: Draft a formal request for structural intervention (cementing/fencing). 3. The SI Nudge: Follow up every 3 days until you get the name and number of the appointed **Sanitation Inspector (SI)**. 4. The Site Visit: Coordinate a joint inspection with the SI and your College Admin.,To the Mayor's Office: 'We have done the cleanup; we now need a structural fix. Principal Sir has authorized this request. May we have the name of the Zonal Sanitation Inspector to coordinate the site visit?',The **Sanitation Inspector's seat** is typically located in the 'Health & Sanitation' wing of the Zonal Municipal Office; check the daily attendance register at 10 AM.,Yes,Recipe: The 'Jurisdiction Check' Protocol; Standard: 74th Amendment for Urban Local Bodies.,5,
190,Solver,Medium,2-4 Weeks,"WhatsApp, Status Logs, Gentle Nudge Script","After the SI was appointed, the work didn't start immediately. These students learned the power of the ""Polite Nudge."" By sending regular updates and status requests to Anil Sir (the appointed official), they kept their problem on the government's priority list.","Maintain momentum on a municipal fix through ""Zero-Friction"" follow-ups.","1. The Diary Number Check: Ensure you have the 'Diary Number' (Internal ID) of your letter. 2. The Weekly Pulse: Send a polite WhatsApp update every Tuesday (e.g., 'Checking on the status of the SI inspection'). 3. Photographic Proof: Send a 'Current Condition' photo to show that the problem still exists. 4. The Escalation Prep: If no response in 15 days, prepare a 'Follow-up Letter' citing the previous Reference ID.","To the Official: 'Good morning Sir, checking on the progress of the [Location] fix. Here is the current photo from today. Is there any additional information you need from our side to start the work?'","To find the **Nodal Officer** for your complaint, ask the dispatch clerk at the MC office: 'Who has this file (Ref ID [X]) been marked to?'",No,"1. Lack of ""Diary Number"" tracking. 2. No specific ""Reminder Cycle"" logic. 3. Missing photographic status report habits.",Recipe: The Follow-Up Log; Standard: Right to Service Act (Punjab).,5.0
144,Solver,Medium,6 Weeks,"Student Signature List, Paper Alternatives, HOD Meeting","Vabek realized that a single voice is easily ignored by college administration. He organized a survey of 45 students and collected 33 signatures for a formal proposal to replace plastic stick files. This ""Citizen Power"" list forced the HOD to officially accept cardboard and digital submissions.",Secure departmental approval for eco-friendly submissions using collective student voices.,1. The Peer Survey: Collect data from 40+ students on why they want to switch (Cost vs. Waste). 2. The Signature Drive: Get at least 30 signatures on a simple one-page request. 3. The Authority Meet: Present the 'Cost-Benefit' and the 'Signature List' to the HOD. 4. Implementation: Ask the HOD to mark an email or notice to all faculty members.,"To the HOD: 'Respected Sir, 33 students from our department have requested a switch to cardboard files. It saves us money and aligns with PWM 2016 rules. We have the signatures here—can we pilot this for the next semester?'","To find the best paper alternatives, visit a local Wholesale Paper Market; they offer card-stock and recycled paper at 40% less than retail stationary shops.",No,1. Lack of 'Strength in Numbers' logic. 2. Missing PWM 2016 regulatory citation. 3. No mention of wholesale vendor scouting.,Template: Peer Signature Sheet; Standard: PWM Rules 2016 Section 4.,5.0
166,Solver,Medium,3-4 Weeks,"AI Tools (DALL·E/Canva), Student Testimonials, Digital Submission Guide","Building on their plastic file project, Vabek and Lakshay used AI to visualize a ""Plastic-Free Finals Week."" They created high-impact DALL·E posters and Canva guides to show that digital submissions aren't just lazy—they are low-carbon. They presented this to 45 peers to break the ""Digital Fear"" friction.",Digitize 100% of internal assignments for a specific course using AI-led advocacy.,1. The AI Vision: Use DALL·E to create a poster of a 'Clean Campus Library' without plastic waste. 2. The How-To Guide: Create a 2-page Canva guide on 'Scanning properly for Google Classroom'. 3. The Teacher Bridge: Show the HOD that digital files are easier to grade and archive. 4. Peer Support: Host a 20-minute 'Scan-A-Thon' to help students digitize their first week of work.,"To the Professor: 'Sir, we have created a guide to help the class submit via Google Classroom. It saves each student ₹50 in folders and reduces your bulk-file management. Can we use this for the next internal?'","To learn the best scanning standards, check the **Google Classroom Teacher Help Center** for recommendations on 'File Size and Format' for high readability.",No,Recipe: The Zero-Friction Digital Submission Kit; Standard: UNESCO Digital Literacy Framework.,5,
171,Solver,High,12+ Weeks,"Municipal Support, Public Survey Data, Beautification Kit","Addressing the Devi Talab Mandir blackspot required more than a cleanup; it required a public survey. By documenting that lack of dustbins and poor lighting were the root causes, these students cleared 300kg of waste and beautyified the area with posters.",Analyze root causes of a persistent blackspot through a public survey and execute a cleanup.,1. The Root Cause Survey: Ask 20 passersby: 'Why does waste accumulate here?' 2. Support Sync: Contact the Municipal Corporation for specialized debris removal equipment. 3. The Big Clean: Organize a 4-hour drive. 4. Visual Barrier: Install posters or paint murals to discourage future littering.,"To the Municipal Official: 'Sir, our survey shows this spot lacks a public bin. We are cleaning it today, but we need the MC to install a permanent bin here under SBM-U guidelines.'",Look for 'Natural Accumulation Points'—corners where people already drop trash habitually.,Yes,Template: Blackspot Survey Form; Standard: SBM-U 2.0 Blackspot Remediation Guidelines.,5,
141,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 141 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
142,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 142 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
143,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 143 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
145,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 145 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
146,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 146 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
147,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 147 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
148,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 148 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
149,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 149 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
150,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 150 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
151,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 151 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
152,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 152 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
153,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 153 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
154,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 154 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
155,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 155 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
156,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 156 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
157,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 157 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
158,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 158 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
159,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 159 following the refined PM lens.,To solve local problem using technical standards.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
